Frame3D
    3    2     1
POINT
   3                      X                      Y                      Z
    1   0.000000000000000000   0.000000000000000000   0.000000000000000000 0 1 0 1 0
    2   0.500000000000000000   0.000000000000000000   0.000000000000000000 0 1 0 1 0
    3   1.000000000000000000   0.000000000000000000   0.000000000000000000 0 1 0 1 0
ELEMENT
    2     I     J     K  TYPE   MAT
    1     1     2     2     3     1
    2     2     3     3     3     1
CONSTRAIN
   3  XTRA  YTRA  ZTRA  XROT  YROT  ZROT
    1     1     1     1     1     1     1
    2     0     0     0     0     0     0
    3     0     0     0     0     0     0
MATERIAL
1   E           G           A           RHO         GAMMA       IP          IA          IB
1   2.100000000D+11   8.076923077D+10   8.000000000D-04   7.850000000D+03   0.000000000D+00   7.323481481D-08   2.666666667D-08   1.066666667D-07
EXTERNALLOAD
    3                    XTRA                    YTRA                    ZTRA                    XROT                    YROT                   ZROT
    1    0.000000000000000000    0.000000000000000000    0.000000000000000000    0.000000000000000000    0.000000000000000000    0.000000000000000000
    2    0.000000000000000000    0.000000000000000000    0.000000000000000000    0.000000000000000000    0.000000000000000000    0.000000000000000000
    3    0.000000000000000000   -1.000000000000000000D+02   0.000000000000000000    5.000000000000000000D+01    0.000000000000000000    0.000000000000000000
END
